{'hand': 'AJAAA', 'type': 1, 'hand_card_ranks': [0, 12, 0, 0, 0], 'bet': '521'}
{'hand': '7557J', 'type': 3, 'hand_card_ranks': [6, 8, 8, 6, 12], 'bet': '701'}
{'hand': '747J4', 'type': 3, 'hand_card_ranks': [6, 9, 6, 12, 9], 'bet': '88'}
{'hand': '7272J', 'type': 3, 'hand_card_ranks': [6, 11, 6, 11, 12], 'bet': '100'}
{'hand': '72272', 'type': 3, 'hand_card_ranks': [6, 11, 11, 6, 11], 'bet': '70'}
{'hand': '6AA6A', 'type': 3, 'hand_card_ranks': [7, 0, 0, 7, 0], 'bet': '95'}
{'hand': '69966', 'type': 3, 'hand_card_ranks': [7, 4, 4, 7, 7], 'bet': '706'}
{'hand': '69699', 'type': 3, 'hand_card_ranks': [7, 4, 7, 4, 4], 'bet': '395'}
{'hand': '66767', 'type': 3, 'hand_card_ranks': [7, 7, 6, 7, 6], 'bet': '937'}
{'hand': '66556', 'type': 3, 'hand_card_ranks': [7, 7, 8, 8, 7], 'bet': '777'}
{'hand': '66J44', 'type': 3, 'hand_card_ranks': [7, 7, 12, 9, 9], 'bet': '283'}
{'hand': '63633', 'type': 3, 'hand_card_ranks': [7, 10, 7, 10, 10], 'bet': '692'}
{'hand': '5AAA5', 'type': 3, 'hand_card_ranks': [8, 0, 0, 0, 8], 'bet': '147'}
{'hand': '5T5TT', 'type': 3, 'hand_card_ranks': [8, 3, 8, 3, 3], 'bet': '905'}
{'hand': '5656J', 'type': 3, 'hand_card_ranks': [8, 7, 8, 7, 12], 'bet': '810'}
{'hand': '56556', 'type': 3, 'hand_card_ranks': [8, 7, 8, 8, 7], 'bet': '359'}
{'hand': '553J3', 'type': 3, 'hand_card_ranks': [8, 8, 10, 12, 10], 'bet': '431'}
{'hand': '55J44', 'type': 3, 'hand_card_ranks': [8, 8, 12, 9, 9], 'bet': '65'}
{'hand': '54445', 'type': 3, 'hand_card_ranks': [8, 9, 9, 9, 8], 'bet': '628'}
{'hand': '53533', 'type': 3, 'hand_card_ranks': [8, 10, 8, 10, 10], 'bet': '354'}
{'hand': '5JA5A', 'type': 3, 'hand_card_ranks': [8, 12, 0, 8, 0], 'bet': '17'}
{'hand': '48448', 'type': 3, 'hand_card_ranks': [9, 5, 9, 9, 5], 'bet': '805'}
{'hand': '45455', 'type': 3, 'hand_card_ranks': [9, 8, 9, 8, 8], 'bet': '578'}
{'hand': '44994', 'type': 3, 'hand_card_ranks': [9, 9, 4, 4, 9], 'bet': '976'}
{'hand': '44242', 'type': 3, 'hand_card_ranks': [9, 9, 11, 9, 11], 'bet': '308'}
{'hand': '43344', 'type': 3, 'hand_card_ranks': [9, 10, 10, 9, 9], 'bet': '509'}
{'hand': '424J2', 'type': 3, 'hand_card_ranks': [9, 11, 9, 12, 11], 'bet': '587'}
{'hand': '4J848', 'type': 3, 'hand_card_ranks': [9, 12, 5, 9, 5], 'bet': '675'}
{'hand': '3TTT3', 'type': 3, 'hand_card_ranks': [10, 3, 3, 3, 10], 'bet': '505'}
{'hand': '3TT3J', 'type': 3, 'hand_card_ranks': [10, 3, 3, 10, 12], 'bet': '567'}
{'hand': '39399', 'type': 3, 'hand_card_ranks': [10, 4, 10, 4, 4], 'bet': '455'}
{'hand': '37377', 'type': 3, 'hand_card_ranks': [10, 6, 10, 6, 6], 'bet': '749'}
{'hand': '36366', 'type': 3, 'hand_card_ranks': [10, 7, 10, 7, 7], 'bet': '185'}
{'hand': '33T3T', 'type': 3, 'hand_card_ranks': [10, 10, 3, 10, 3], 'bet': '843'}
{'hand': '33443', 'type': 3, 'hand_card_ranks': [10, 10, 9, 9, 10], 'bet': '269'}
{'hand': '32323', 'type': 3, 'hand_card_ranks': [10, 11, 10, 11, 10], 'bet': '41'}
{'hand': '2A2AA', 'type': 3, 'hand_card_ranks': [11, 0, 11, 0, 0], 'bet': '599'}
{'hand': '2KJ2K', 'type': 3, 'hand_card_ranks': [11, 1, 12, 11, 1], 'bet': '375'}
{'hand': '2QQ2Q', 'type': 3, 'hand_card_ranks': [11, 2, 2, 11, 2], 'bet': '279'}
{'hand': '2TT2T', 'type': 3, 'hand_card_ranks': [11, 3, 3, 11, 3], 'bet': '113'}
{'hand': '29992', 'type': 3, 'hand_card_ranks': [11, 4, 4, 4, 11], 'bet': '752'}
{'hand': '27277', 'type': 3, 'hand_card_ranks': [11, 6, 11, 6, 6], 'bet': '581'}
{'hand': '26266', 'type': 3, 'hand_card_ranks': [11, 7, 11, 7, 7], 'bet': '668'}
{'hand': '26262', 'type': 3, 'hand_card_ranks': [11, 7, 11, 7, 11], 'bet': '552'}
{'hand': '25552', 'type': 3, 'hand_card_ranks': [11, 8, 8, 8, 11], 'bet': '825'}
{'hand': '25522', 'type': 3, 'hand_card_ranks': [11, 8, 8, 11, 11], 'bet': '986'}
{'hand': '22424', 'type': 3, 'hand_card_ranks': [11, 11, 9, 11, 9], 'bet': '518'}
{'hand': '222KK', 'type': 3, 'hand_card_ranks': [11, 11, 11, 1, 1], 'bet': '925'}
{'hand': '222QQ', 'type': 3, 'hand_card_ranks': [11, 11, 11, 2, 2], 'bet': '245'}
{'hand': '22233', 'type': 3, 'hand_card_ranks': [11, 11, 11, 10, 10], 'bet': '942'}
{'hand': 'JAATT', 'type': 3, 'hand_card_ranks': [12, 0, 0, 3, 3], 'bet': '9'}
{'hand': 'JA7A7', 'type': 3, 'hand_card_ranks': [12, 0, 6, 0, 6], 'bet': '214'}
{'hand': 'JK4K4', 'type': 3, 'hand_card_ranks': [12, 1, 9, 1, 9], 'bet': '386'}
{'hand': 'J3QQ3', 'type': 3, 'hand_card_ranks': [12, 10, 2, 2, 10], 'bet': '726'}
{'hand': 'AAA96', 'type': 4, 'hand_card_ranks': [0, 0, 0, 4, 7], 'bet': '684'}
{'hand': 'AAQ9A', 'type': 4, 'hand_card_ranks': [0, 0, 2, 4, 0], 'bet': '12'}
{'hand': 'AATAQ', 'type': 4, 'hand_card_ranks': [0, 0, 3, 0, 2], 'bet': '227'}
{'hand': 'AA8J4', 'type': 4, 'hand_card_ranks': [0, 0, 5, 12, 9], 'bet': '588'}
{'hand': 'AQQQ9', 'type': 4, 'hand_card_ranks': [0, 2, 2, 2, 4], 'bet': '571'}
{'hand': 'AQJJ3', 'type': 4, 'hand_card_ranks': [0, 2, 12, 12, 10], 'bet': '225'}
{'hand': 'AT4TT', 'type': 4, 'hand_card_ranks': [0, 3, 9, 3, 3], 'bet': '817'}
{'hand': 'A9JTA', 'type': 4, 'hand_card_ranks': [0, 4, 12, 3, 0], 'bet': '81'}
{'hand': 'A699J', 'type': 4, 'hand_card_ranks': [0, 7, 4, 4, 12], 'bet': '399'}
{'hand': 'A6696', 'type': 4, 'hand_card_ranks': [0, 7, 7, 4, 7], 'bet': '527'}
{'hand': 'A5T5J', 'type': 4, 'hand_card_ranks': [0, 8, 3, 8, 12], 'bet': '21'}
{'hand': 'A55J4', 'type': 4, 'hand_card_ranks': [0, 8, 8, 12, 9], 'bet': '236'}
{'hand': 'A4AA9', 'type': 4, 'hand_card_ranks': [0, 9, 0, 0, 4], 'bet': '579'}
{'hand': 'A4AA7', 'type': 4, 'hand_card_ranks': [0, 9, 0, 0, 6], 'bet': '459'}
{'hand': 'A4AJ7', 'type': 4, 'hand_card_ranks': [0, 9, 0, 12, 6], 'bet': '935'}
{'hand': 'A4JA2', 'type': 4, 'hand_card_ranks': [0, 9, 12, 0, 11], 'bet': '574'}
{'hand': 'A2229', 'type': 4, 'hand_card_ranks': [0, 11, 11, 11, 4], 'bet': '604'}
{'hand': 'A22JK', 'type': 4, 'hand_card_ranks': [0, 11, 11, 12, 1], 'bet': '719'}
{'hand': 'AJKK6', 'type': 4, 'hand_card_ranks': [0, 12, 1, 1, 7], 'bet': '610'}
{'hand': 'AJ7Q7', 'type': 4, 'hand_card_ranks': [0, 12, 6, 2, 6], 'bet': '733'}
{'hand': 'KAJ2A', 'type': 4, 'hand_card_ranks': [1, 0, 12, 11, 0], 'bet': '837'}
{'hand': 'KKKA7', 'type': 4, 'hand_card_ranks': [1, 1, 1, 0, 6], 'bet': '553'}
{'hand': 'KK7K2', 'type': 4, 'hand_card_ranks': [1, 1, 6, 1, 11], 'bet': '580'}
{'hand': 'KK5AK', 'type': 4, 'hand_card_ranks': [1, 1, 8, 0, 1], 'bet': '299'}
{'hand': 'KQKK5', 'type': 4, 'hand_card_ranks': [1, 2, 1, 1, 8], 'bet': '753'}
{'hand': 'KTAJA', 'type': 4, 'hand_card_ranks': [1, 3, 0, 12, 0], 'bet': '203'}
{'hand': 'KTKK9', 'type': 4, 'hand_card_ranks': [1, 3, 1, 1, 4], 'bet': '947'}
{'hand': 'KTKK2', 'type': 4, 'hand_card_ranks': [1, 3, 1, 1, 11], 'bet': '784'}
{'hand': 'KTTJ5', 'type': 4, 'hand_card_ranks': [1, 3, 3, 12, 8], 'bet': '563'}
{'hand': 'K9KK6', 'type': 4, 'hand_card_ranks': [1, 4, 1, 1, 7], 'bet': '267'}
{'hand': 'K9555', 'type': 4, 'hand_card_ranks': [1, 4, 8, 8, 8], 'bet': '106'}
{'hand': 'K6TJT', 'type': 4, 'hand_card_ranks': [1, 7, 3, 12, 3], 'bet': '884'}
{'hand': 'K5999', 'type': 4, 'hand_card_ranks': [1, 8, 4, 4, 4], 'bet': '270'}
{'hand': 'K52J2', 'type': 4, 'hand_card_ranks': [1, 8, 11, 12, 11], 'bet': '828'}
{'hand': 'K46KK', 'type': 4, 'hand_card_ranks': [1, 9, 7, 1, 1], 'bet': '659'}
{'hand': 'K43JK', 'type': 4, 'hand_card_ranks': [1, 9, 10, 12, 1], 'bet': '300'}
{'hand': 'K2444', 'type': 4, 'hand_card_ranks': [1, 11, 9, 9, 9], 'bet': '109'}
{'hand': 'QAJA6', 'type': 4, 'hand_card_ranks': [2, 0, 12, 0, 7], 'bet': '791'}
{'hand': 'QKAQJ', 'type': 4, 'hand_card_ranks': [2, 1, 0, 2, 12], 'bet': '159'}
{'hand': 'QQQ59', 'type': 4, 'hand_card_ranks': [2, 2, 2, 8, 4], 'bet': '933'}
{'hand': 'QQQ25', 'type': 4, 'hand_card_ranks': [2, 2, 2, 11, 8], 'bet': '918'}
{'hand': 'QT3QJ', 'type': 4, 'hand_card_ranks': [2, 3, 10, 2, 12], 'bet': '519'}
{'hand': 'Q97QQ', 'type': 4, 'hand_card_ranks': [2, 4, 6, 2, 2], 'bet': '224'}
{'hand': 'Q96J6', 'type': 4, 'hand_card_ranks': [2, 4, 7, 12, 7], 'bet': '826'}
{'hand': 'Q88AJ', 'type': 4, 'hand_card_ranks': [2, 5, 5, 0, 12], 'bet': '767'}
{'hand': 'Q7A77', 'type': 4, 'hand_card_ranks': [2, 6, 0, 6, 6], 'bet': '686'}
{'hand': 'Q7797', 'type': 4, 'hand_card_ranks': [2, 6, 6, 4, 6], 'bet': '560'}
{'hand': 'Q75J5', 'type': 4, 'hand_card_ranks': [2, 6, 8, 12, 8], 'bet': '433'}
{'hand': 'Q5JAQ', 'type': 4, 'hand_card_ranks': [2, 8, 12, 0, 2], 'bet': '87'}
{'hand': 'Q3QQ8', 'type': 4, 'hand_card_ranks': [2, 10, 2, 2, 5], 'bet': '179'}
{'hand': 'Q2Q4Q', 'type': 4, 'hand_card_ranks': [2, 11, 2, 9, 2], 'bet': '977'}
{'hand': 'QJT44', 'type': 4, 'hand_card_ranks': [2, 12, 3, 9, 9], 'bet': '922'}
{'hand': 'QJT2T', 'type': 4, 'hand_card_ranks': [2, 12, 3, 11, 3], 'bet': '183'}
{'hand': 'TK333', 'type': 4, 'hand_card_ranks': [3, 1, 10, 10, 10], 'bet': '38'}
{'hand': 'TQTJ8', 'type': 4, 'hand_card_ranks': [3, 2, 3, 12, 5], 'bet': '858'}
{'hand': 'TTTAQ', 'type': 4, 'hand_card_ranks': [3, 3, 3, 0, 2], 'bet': '685'}
{'hand': 'TT7JQ', 'type': 4, 'hand_card_ranks': [3, 3, 6, 12, 2], 'bet': '388'}
{'hand': 'TT3QT', 'type': 4, 'hand_card_ranks': [3, 3, 10, 2, 3], 'bet': '582'}
{'hand': 'T9J33', 'type': 4, 'hand_card_ranks': [3, 4, 12, 10, 10], 'bet': '384'}
{'hand': 'T75J5', 'type': 4, 'hand_card_ranks': [3, 6, 8, 12, 8], 'bet': '801'}
{'hand': 'T6T7T', 'type': 4, 'hand_card_ranks': [3, 7, 3, 6, 3], 'bet': '972'}
{'hand': 'T6T5T', 'type': 4, 'hand_card_ranks': [3, 7, 3, 8, 3], 'bet': '702'}
{'hand': 'T6667', 'type': 4, 'hand_card_ranks': [3, 7, 7, 7, 6], 'bet': '910'}
{'hand': 'T5T4T', 'type': 4, 'hand_card_ranks': [3, 8, 3, 9, 3], 'bet': '939'}
{'hand': 'T55J8', 'type': 4, 'hand_card_ranks': [3, 8, 8, 12, 5], 'bet': '636'}
{'hand': 'T4QJJ', 'type': 4, 'hand_card_ranks': [3, 9, 2, 12, 12], 'bet': '655'}
{'hand': 'T4J45', 'type': 4, 'hand_card_ranks': [3, 9, 12, 9, 8], 'bet': '452'}
{'hand': 'T3TQJ', 'type': 4, 'hand_card_ranks': [3, 10, 3, 2, 12], 'bet': '303'}
{'hand': 'T3338', 'type': 4, 'hand_card_ranks': [3, 10, 10, 10, 5], 'bet': '168'}
{'hand': 'T3J55', 'type': 4, 'hand_card_ranks': [3, 10, 12, 8, 8], 'bet': '890'}
{'hand': 'TJ75T', 'type': 4, 'hand_card_ranks': [3, 12, 6, 8, 3], 'bet': '86'}
{'hand': '9KJQQ', 'type': 4, 'hand_card_ranks': [4, 1, 12, 2, 2], 'bet': '716'}
{'hand': '9QTJQ', 'type': 4, 'hand_card_ranks': [4, 2, 3, 12, 2], 'bet': '880'}
{'hand': '9TTKT', 'type': 4, 'hand_card_ranks': [4, 3, 3, 1, 3], 'bet': '648'}
{'hand': '9T9A9', 'type': 4, 'hand_card_ranks': [4, 3, 4, 0, 4], 'bet': '809'}
{'hand': '9T699', 'type': 4, 'hand_card_ranks': [4, 3, 7, 4, 4], 'bet': '73'}
{'hand': '999TQ', 'type': 4, 'hand_card_ranks': [4, 4, 4, 3, 2], 'bet': '735'}
{'hand': '99JA8', 'type': 4, 'hand_card_ranks': [4, 4, 12, 0, 5], 'bet': '181'}
{'hand': '99JQK', 'type': 4, 'hand_card_ranks': [4, 4, 12, 2, 1], 'bet': '125'}
{'hand': '984J8', 'type': 4, 'hand_card_ranks': [4, 5, 9, 12, 5], 'bet': '372'}
{'hand': '98299', 'type': 4, 'hand_card_ranks': [4, 5, 11, 4, 4], 'bet': '550'}
{'hand': '97TTJ', 'type': 4, 'hand_card_ranks': [4, 6, 3, 3, 12], 'bet': '260'}
{'hand': '979T9', 'type': 4, 'hand_card_ranks': [4, 6, 4, 3, 4], 'bet': '876'}
{'hand': '965J6', 'type': 4, 'hand_card_ranks': [4, 7, 8, 12, 7], 'bet': '415'}
{'hand': '95A5J', 'type': 4, 'hand_card_ranks': [4, 8, 0, 8, 12], 'bet': '8'}
{'hand': '9585J', 'type': 4, 'hand_card_ranks': [4, 8, 5, 8, 12], 'bet': '554'}
{'hand': '929J3', 'type': 4, 'hand_card_ranks': [4, 11, 4, 12, 10], 'bet': '759'}
{'hand': '92JT9', 'type': 4, 'hand_card_ranks': [4, 11, 12, 3, 4], 'bet': '389'}
{'hand': '9JQ4J', 'type': 4, 'hand_card_ranks': [4, 12, 2, 9, 12], 'bet': '427'}
{'hand': '8KKKA', 'type': 4, 'hand_card_ranks': [5, 1, 1, 1, 0], 'bet': '128'}
{'hand': '8K882', 'type': 4, 'hand_card_ranks': [5, 1, 5, 5, 11], 'bet': '115'}
{'hand': '8Q333', 'type': 4, 'hand_card_ranks': [5, 2, 10, 10, 10], 'bet': '192'}
{'hand': '8T8JQ', 'type': 4, 'hand_card_ranks': [5, 3, 5, 12, 2], 'bet': '835'}
{'hand': '88Q48', 'type': 4, 'hand_card_ranks': [5, 5, 2, 9, 5], 'bet': '709'}
{'hand': '88Q38', 'type': 4, 'hand_card_ranks': [5, 5, 2, 10, 5], 'bet': '612'}
{'hand': '888T6', 'type': 4, 'hand_card_ranks': [5, 5, 5, 3, 7], 'bet': '585'}
{'hand': '886A8', 'type': 4, 'hand_card_ranks': [5, 5, 7, 0, 5], 'bet': '441'}
{'hand': '878A8', 'type': 4, 'hand_card_ranks': [5, 6, 5, 0, 5], 'bet': '515'}
{'hand': '855AJ', 'type': 4, 'hand_card_ranks': [5, 8, 8, 0, 12], 'bet': '316'}
{'hand': '8488A', 'type': 4, 'hand_card_ranks': [5, 9, 5, 5, 0], 'bet': '522'}
{'hand': '84J55', 'type': 4, 'hand_card_ranks': [5, 9, 12, 8, 8], 'bet': '28'}
{'hand': '8JKTT', 'type': 4, 'hand_card_ranks': [5, 12, 1, 3, 3], 'bet': '854'}
{'hand': '8JTT6', 'type': 4, 'hand_card_ranks': [5, 12, 3, 3, 7], 'bet': '878'}
{'hand': '7AAAQ', 'type': 4, 'hand_card_ranks': [6, 0, 0, 0, 2], 'bet': '914'}
{'hand': '7AK7J', 'type': 4, 'hand_card_ranks': [6, 0, 1, 6, 12], 'bet': '904'}
{'hand': '7A757', 'type': 4, 'hand_card_ranks': [6, 0, 6, 8, 6], 'bet': '20'}
{'hand': '7KQKK', 'type': 4, 'hand_card_ranks': [6, 1, 2, 1, 1], 'bet': '513'}
{'hand': '7Q8J7', 'type': 4, 'hand_card_ranks': [6, 2, 5, 12, 6], 'bet': '600'}
{'hand': '79949', 'type': 4, 'hand_card_ranks': [6, 4, 4, 9, 4], 'bet': '158'}
{'hand': '78Q77', 'type': 4, 'hand_card_ranks': [6, 5, 2, 6, 6], 'bet': '207'}
{'hand': '777T8', 'type': 4, 'hand_card_ranks': [6, 6, 6, 3, 5], 'bet': '694'}
{'hand': '77762', 'type': 4, 'hand_card_ranks': [6, 6, 6, 7, 11], 'bet': '940'}
{'hand': '774K7', 'type': 4, 'hand_card_ranks': [6, 6, 9, 1, 6], 'bet': '958'}
{'hand': '7727A', 'type': 4, 'hand_card_ranks': [6, 6, 11, 6, 0], 'bet': '25'}
{'hand': '75QQJ', 'type': 4, 'hand_card_ranks': [6, 8, 2, 2, 12], 'bet': '440'}
{'hand': '74778', 'type': 4, 'hand_card_ranks': [6, 9, 6, 6, 5], 'bet': '393'}
{'hand': '74JK7', 'type': 4, 'hand_card_ranks': [6, 9, 12, 1, 6], 'bet': '980'}
{'hand': '73555', 'type': 4, 'hand_card_ranks': [6, 10, 8, 8, 8], 'bet': '407'}
{'hand': '73JJT', 'type': 4, 'hand_card_ranks': [6, 10, 12, 12, 3], 'bet': '742'}
{'hand': '727TJ', 'type': 4, 'hand_card_ranks': [6, 11, 6, 3, 12], 'bet': '526'}
{'hand': '72J99', 'type': 4, 'hand_card_ranks': [6, 11, 12, 4, 4], 'bet': '364'}
{'hand': '7J749', 'type': 4, 'hand_card_ranks': [6, 12, 6, 9, 4], 'bet': '84'}
{'hand': '7J374', 'type': 4, 'hand_card_ranks': [6, 12, 10, 6, 9], 'bet': '403'}
{'hand': '7J275', 'type': 4, 'hand_card_ranks': [6, 12, 11, 6, 8], 'bet': '741'}
{'hand': '7JJ4Q', 'type': 4, 'hand_card_ranks': [6, 12, 12, 9, 2], 'bet': '746'}
{'hand': '6K76J', 'type': 4, 'hand_card_ranks': [7, 1, 6, 7, 12], 'bet': '255'}
{'hand': '6K663', 'type': 4, 'hand_card_ranks': [7, 1, 7, 7, 10], 'bet': '343'}
{'hand': '6KJ7J', 'type': 4, 'hand_card_ranks': [7, 1, 12, 6, 12], 'bet': '426'}
{'hand': '6Q4QQ', 'type': 4, 'hand_card_ranks': [7, 2, 9, 2, 2], 'bet': '76'}
{'hand': '6T66K', 'type': 4, 'hand_card_ranks': [7, 3, 7, 7, 1], 'bet': '371'}
{'hand': '6T555', 'type': 4, 'hand_card_ranks': [7, 3, 8, 8, 8], 'bet': '981'}
{'hand': '697JJ', 'type': 4, 'hand_card_ranks': [7, 4, 6, 12, 12], 'bet': '538'}
{'hand': '66A65', 'type': 4, 'hand_card_ranks': [7, 7, 0, 7, 8], 'bet': '501'}
{'hand': '66K68', 'type': 4, 'hand_card_ranks': [7, 7, 1, 7, 5], 'bet': '336'}
{'hand': '66K26', 'type': 4, 'hand_card_ranks': [7, 7, 1, 11, 7], 'bet': '344'}
{'hand': '6683J', 'type': 4, 'hand_card_ranks': [7, 7, 5, 10, 12], 'bet': '862'}
{'hand': '6642J', 'type': 4, 'hand_card_ranks': [7, 7, 9, 11, 12], 'bet': '1000'}
{'hand': '662JK', 'type': 4, 'hand_card_ranks': [7, 7, 11, 12, 1], 'bet': '212'}
{'hand': '66J7Q', 'type': 4, 'hand_card_ranks': [7, 7, 12, 6, 2], 'bet': '360'}
{'hand': '6466K', 'type': 4, 'hand_card_ranks': [7, 9, 7, 7, 1], 'bet': '999'}
{'hand': '63AJA', 'type': 4, 'hand_card_ranks': [7, 10, 0, 12, 0], 'bet': '993'}
{'hand': '6266T', 'type': 4, 'hand_card_ranks': [7, 11, 7, 7, 3], 'bet': '510'}
{'hand': '62665', 'type': 4, 'hand_card_ranks': [7, 11, 7, 7, 8], 'bet': '548'}
{'hand': '6JA9A', 'type': 4, 'hand_card_ranks': [7, 12, 0, 4, 0], 'bet': '136'}
{'hand': '6J546', 'type': 4, 'hand_card_ranks': [7, 12, 8, 9, 7], 'bet': '669'}
{'hand': '5AK55', 'type': 4, 'hand_card_ranks': [8, 0, 1, 8, 8], 'bet': '820'}
{'hand': '5KKK2', 'type': 4, 'hand_card_ranks': [8, 1, 1, 1, 11], 'bet': '345'}
{'hand': '5QQ7Q', 'type': 4, 'hand_card_ranks': [8, 2, 2, 6, 2], 'bet': '962'}
{'hand': '5Q6QQ', 'type': 4, 'hand_card_ranks': [8, 2, 7, 2, 2], 'bet': '126'}
{'hand': '5Q4QQ', 'type': 4, 'hand_card_ranks': [8, 2, 9, 2, 2], 'bet': '213'}
{'hand': '5TAAA', 'type': 4, 'hand_card_ranks': [8, 3, 0, 0, 0], 'bet': '381'}
{'hand': '5TTT7', 'type': 4, 'hand_card_ranks': [8, 3, 3, 3, 6], 'bet': '625'}
{'hand': '5T777', 'type': 4, 'hand_card_ranks': [8, 3, 6, 6, 6], 'bet': '859'}
{'hand': '5T55K', 'type': 4, 'hand_card_ranks': [8, 3, 8, 8, 1], 'bet': '256'}
{'hand': '59Q99', 'type': 4, 'hand_card_ranks': [8, 4, 2, 4, 4], 'bet': '5'}
{'hand': '59969', 'type': 4, 'hand_card_ranks': [8, 4, 4, 7, 4], 'bet': '928'}
{'hand': '595JQ', 'type': 4, 'hand_card_ranks': [8, 4, 8, 12, 2], 'bet': '533'}
{'hand': '585T5', 'type': 4, 'hand_card_ranks': [8, 5, 8, 3, 8], 'bet': '881'}
{'hand': '58J57', 'type': 4, 'hand_card_ranks': [8, 5, 12, 8, 6], 'bet': '66'}
{'hand': '57J54', 'type': 4, 'hand_card_ranks': [8, 6, 12, 8, 9], 'bet': '258'}
{'hand': '56AJA', 'type': 4, 'hand_card_ranks': [8, 7, 0, 12, 0], 'bet': '89'}
{'hand': '566KJ', 'type': 4, 'hand_card_ranks': [8, 7, 7, 1, 12], 'bet': '149'}
{'hand': '56466', 'type': 4, 'hand_card_ranks': [8, 7, 9, 7, 7], 'bet': '34'}
{'hand': '55K4J', 'type': 4, 'hand_card_ranks': [8, 8, 1, 9, 12], 'bet': '247'}
{'hand': '55T57', 'type': 4, 'hand_card_ranks': [8, 8, 3, 8, 6], 'bet': '844'}
{'hand': '55659', 'type': 4, 'hand_card_ranks': [8, 8, 7, 8, 4], 'bet': '120'}
{'hand': '55635', 'type': 4, 'hand_card_ranks': [8, 8, 7, 10, 8], 'bet': '374'}
{'hand': '555A9', 'type': 4, 'hand_card_ranks': [8, 8, 8, 0, 4], 'bet': '322'}
{'hand': '5552T', 'type': 4, 'hand_card_ranks': [8, 8, 8, 11, 3], 'bet': '254'}
{'hand': '5524J', 'type': 4, 'hand_card_ranks': [8, 8, 11, 9, 12], 'bet': '460'}
{'hand': '525J8', 'type': 4, 'hand_card_ranks': [8, 11, 8, 12, 5], 'bet': '417'}
{'hand': '5J586', 'type': 4, 'hand_card_ranks': [8, 12, 8, 5, 7], 'bet': '32'}
{'hand': '5J2J8', 'type': 4, 'hand_card_ranks': [8, 12, 11, 12, 5], 'bet': '666'}
{'hand': '4K44T', 'type': 4, 'hand_card_ranks': [9, 1, 9, 9, 3], 'bet': '401'}
{'hand': '4KJ2K', 'type': 4, 'hand_card_ranks': [9, 1, 12, 11, 1], 'bet': '788'}
{'hand': '4Q999', 'type': 4, 'hand_card_ranks': [9, 2, 4, 4, 4], 'bet': '114'}
{'hand': '4T844', 'type': 4, 'hand_card_ranks': [9, 3, 5, 9, 9], 'bet': '516'}
{'hand': '4T447', 'type': 4, 'hand_card_ranks': [9, 3, 9, 9, 6], 'bet': '927'}
{'hand': '49TTT', 'type': 4, 'hand_card_ranks': [9, 4, 3, 3, 3], 'bet': '868'}
{'hand': '4844A', 'type': 4, 'hand_card_ranks': [9, 5, 9, 9, 0], 'bet': '233'}
{'hand': '47666', 'type': 4, 'hand_card_ranks': [9, 6, 7, 7, 7], 'bet': '376'}
{'hand': '46844', 'type': 4, 'hand_card_ranks': [9, 7, 5, 9, 9], 'bet': '611'}
{'hand': '45K55', 'type': 4, 'hand_card_ranks': [9, 8, 1, 8, 8], 'bet': '242'}
{'hand': '45K44', 'type': 4, 'hand_card_ranks': [9, 8, 1, 9, 9], 'bet': '363'}
{'hand': '45443', 'type': 4, 'hand_card_ranks': [9, 8, 9, 9, 10], 'bet': '761'}
{'hand': '45442', 'type': 4, 'hand_card_ranks': [9, 8, 9, 9, 11], 'bet': '616'}
{'hand': '45JK4', 'type': 4, 'hand_card_ranks': [9, 8, 12, 1, 9], 'bet': '154'}
{'hand': '44794', 'type': 4, 'hand_card_ranks': [9, 9, 6, 4, 9], 'bet': '751'}
{'hand': '44384', 'type': 4, 'hand_card_ranks': [9, 9, 10, 5, 9], 'bet': '872'}
{'hand': '4424A', 'type': 4, 'hand_card_ranks': [9, 9, 11, 9, 0], 'bet': '409'}
{'hand': '43QQQ', 'type': 4, 'hand_card_ranks': [9, 10, 2, 2, 2], 'bet': '523'}
{'hand': '42447', 'type': 4, 'hand_card_ranks': [9, 11, 9, 9, 6], 'bet': '161'}
{'hand': '422JK', 'type': 4, 'hand_card_ranks': [9, 11, 11, 12, 1], 'bet': '406'}
{'hand': '42JT4', 'type': 4, 'hand_card_ranks': [9, 11, 12, 3, 9], 'bet': '235'}
{'hand': '4J749', 'type': 4, 'hand_card_ranks': [9, 12, 6, 9, 4], 'bet': '434'}
{'hand': '4J4Q9', 'type': 4, 'hand_card_ranks': [9, 12, 9, 2, 4], 'bet': '208'}
{'hand': '3A3J7', 'type': 4, 'hand_card_ranks': [10, 0, 10, 12, 6], 'bet': '127'}
{'hand': '3TJT4', 'type': 4, 'hand_card_ranks': [10, 3, 12, 3, 9], 'bet': '349'}
{'hand': '39699', 'type': 4, 'hand_card_ranks': [10, 4, 7, 4, 4], 'bet': '829'}
{'hand': '36646', 'type': 4, 'hand_card_ranks': [10, 7, 7, 9, 7], 'bet': '420'}
{'hand': '362J2', 'type': 4, 'hand_card_ranks': [10, 7, 11, 12, 11], 'bet': '912'}
{'hand': '33T53', 'type': 4, 'hand_card_ranks': [10, 10, 3, 8, 10], 'bet': '634'}
{'hand': '338TJ', 'type': 4, 'hand_card_ranks': [10, 10, 5, 3, 12], 'bet': '290'}
{'hand': '337J2', 'type': 4, 'hand_card_ranks': [10, 10, 6, 12, 11], 'bet': '652'}
